1.53,42.51
55.47,25.42
55.47,25.39
54.38,24.48
54.54,24.51
54.49,24.4
54.49,24.4
54.61,24.46
55.69,24.19
54.38,24.48
54.34,24.47
54.37,24.49
55.69,24.19
54.7,24.3
54.6,24.48
55.74,24.21
54.34,24.47
54.35,24.47
54.37,24.47
54.38,24.48
54.51,24.42
54.35,24.46
54.66,24.41
54.41,24.5
54.32,24.47
54.57,24.35
55.62,24.21
54.44,24.54
54.34,24.47
54.94,24.9
54.37,24.5
54.6,24.4
55.77,24.48
54.44,24.43
54.61,24.46
54.39,24.46
54.39,24.43
54.66,24.41
55.53,23.85
54.37,24.47
54.37,24.52
54.37,24.48
54.37,24.47
55.4,24.12
55.29,25.24
55.65,24.19
55.73,24.24
55.39,25.1
55.81,24.16
55.69,24.21
55.8,24.13
54.47,24.41
54.63,24.29
54.69,24.39
55.23,25.05
55.23,25.17
55.6,24.78
55.35,25.25
55.31,25.27
55.16,25.1
55.27,25.19
55.28,25.21
55.15,25.08
55.35,25.25
55.2,25.12
55.4,25.23
55.28,25.19
55.12,25.13
55.14,25.08
55.24,25.17
55.13,25.07
55.31,25.27
55.28,25.19
55.32,25.27
55.13,25.07
55.12,25.13
55.23,25.19
55.25,25.22
55.17,25.1
55.31,25.27
55.33,25.26
55.27,25.2
55.24,25.05
55.35,25.27
55.19,25.11
55.19,25.03
55.42,25.23
55.24,25.2
55.46,25.26
55.35,25.25
55.12,25.04
55.28,25.2
55.33,25.25
55,24.92
55.28,25.24
55.42,25.13
55.19,25.13
55.28,25.21
55.12,25.05
55.41,25.22
55.33,25.23
55.28,25.2
55.28,25.25
55.44,25.04
55.43,25.23
55.33,25.25
55.26,25.23
55.27,25.23
55.13,25.07
55.31,25.27
55.28,25.22
55.09,24.99
55.2,25.12
55.2,25.12
55.31,25.23
55.14,25.08
55.31,25.27
55.14,25.08
55.14,25.08
55.16,25.11
55.35,25.25
55.35,25.25
55.12,25.04
55,24.54
55.27,25.2
55.3,25.25
55.21,25.1
55.4,25.13
55.38,25.11
55.33,25.29
55.17,25.05
55.16,25.1
55.16,25.11
56.3,25.13
56.33,25.12
55.78,25.68
55.97,25.79
55.92,25.75
55.39,25.35
55.4,25.35
55.38,25.33
55.38,25.32
55.37,25.3
55.48,25.3
55.54,25.53
-58.37,-34.68
-57.87,-34.88
-58.44,-34.58
-58.7,-34.53
-58.51,-34.47
-58.5,-34.49
-58.4,-34.59
-58.38,-34.6
-58.53,-34.8
-58.49,-34.48
-58.52,-34.51
-58.65,-34.63
-58.92,-34.45
-60.22,-33.39
-58.86,-34.46
-58.26,-34.72
-58.55,-34.49
-58.56,-34.69
-58.66,-34.4
-58.73,-34.45
-58.47,-34.53
-58.41,-34.6
-58.44,-34.57
-58.4,-34.6
-58.44,-34.58
-58.47,-34.55
-58.46,-34.56
-58.39,-34.6
-58.38,-34.6
-58.42,-34.57
-58.37,-34.61
-58.46,-34.56
-58.43,-34.59
-58.42,-34.57
-58.38,-34.59
-58.43,-34.58
-58.38,-34.61
-58.44,-34.57
-58.39,-34.6
-58.38,-34.6
-58.36,-34.61
-58.49,-34.55
-58.46,-34.57
-58.37,-34.6
-58.38,-34.6
-58.41,-34.59
-58.39,-34.6
-58.4,-34.58
-58.36,-34.6
-58.45,-34.56
-58.38,-34.61
-58.37,-34.6
-58.38,-34.61
-58.37,-34.61
-58.39,-34.59
-58.38,-34.62
-58.43,-34.62
-58.43,-34.62
-58.39,-34.6
-58.43,-34.58
-58.52,-34.61
-58.41,-34.58
-58.47,-34.54
-58.41,-34.6
-58.39,-34.6
-58.37,-34.6
-58.37,-34.6
-58.38,-34.62
-58.57,-34.64
-58.37,-34.62
-58.41,-34.59
-58.37,-34.61
-58.4,-34.58
-58.39,-34.59
-58.37,-34.6
-58.41,-34.58
